epoch;nb_episodes;r_mean;r_var;r_std
2;1;-100.0;0.0;0.0
4;1;-100.0;0.0;0.0
6;1;-100.0;0.0;0.0
8;1;-100.0;0.0;0.0
10;1;-100.0;0.0;0.0
12;1;-100.0;0.0;0.0
14;2;-100.0;0.0;0.0
16;1;-100.0;0.0;0.0
18;1;-100.0;0.0;0.0
20;1;-100.0;0.0;0.0
22;1;-100.0;0.0;0.0
24;1;-100.0;0.0;0.0
26;1;-100.0;0.0;0.0
28;1;-100.0;0.0;0.0
30;1;-100.0;0.0;0.0
32;1;-100.0;0.0;0.0
34;1;-100.0;0.0;0.0
36;1;-100.0;0.0;0.0
38;1;-100.0;0.0;0.0
40;1;-100.0;0.0;0.0
42;1;-100.0;0.0;0.0
44;1;-100.0;0.0;0.0
46;1;-100.0;0.0;0.0
48;1;-100.0;0.0;0.0
50;1;-100.0;0.0;0.0
52;1;-100.0;0.0;0.0
54;1;-100.0;0.0;0.0
56;1;-100.0;0.0;0.0
58;1;-100.0;0.0;0.0
60;1;-100.0;0.0;0.0
62;1;-100.0;0.0;0.0
64;1;-100.0;0.0;0.0
66;1;-100.0;0.0;0.0
68;1;-100.0;0.0;0.0
70;1;-100.0;0.0;0.0
72;1;-100.0;0.0;0.0
74;1;-100.0;0.0;0.0
76;1;-100.0;0.0;0.0
78;1;-100.0;0.0;0.0
80;1;-100.0;0.0;0.0
82;1;-100.0;0.0;0.0
84;1;-100.0;0.0;0.0
86;1;-100.0;0.0;0.0
88;1;-100.0;0.0;0.0
90;1;-100.0;0.0;0.0
92;1;-100.0;0.0;0.0
94;1;-100.0;0.0;0.0
96;1;-100.0;0.0;0.0
98;1;-100.0;0.0;0.0
100;1;-100.0;0.0;0.0
102;1;-100.0;0.0;0.0
104;1;-100.0;0.0;0.0
106;1;-100.0;0.0;0.0
108;1;-100.0;0.0;0.0
110;1;-100.0;0.0;0.0
112;1;-100.0;0.0;0.0
114;1;-100.0;0.0;0.0
116;1;-100.0;0.0;0.0
118;1;-100.0;0.0;0.0
120;1;-100.0;0.0;0.0
122;1;-100.0;0.0;0.0
124;1;-100.0;0.0;0.0
126;1;-100.0;0.0;0.0
128;1;-100.0;0.0;0.0
130;1;-100.0;0.0;0.0
132;1;-100.0;0.0;0.0
134;1;-100.0;0.0;0.0
136;1;-100.0;0.0;0.0
138;1;-100.0;0.0;0.0
140;1;-100.0;0.0;0.0
142;1;-100.0;0.0;0.0
144;1;-100.0;0.0;0.0
146;1;-100.0;0.0;0.0
148;1;-100.0;0.0;0.0
150;1;-100.0;0.0;0.0
152;1;-100.0;0.0;0.0
154;1;-100.0;0.0;0.0
156;1;-100.0;0.0;0.0
158;1;-100.0;0.0;0.0
160;1;-100.0;0.0;0.0
162;1;-100.0;0.0;0.0
164;1;-100.0;0.0;0.0
166;1;-100.0;0.0;0.0
168;1;-100.0;0.0;0.0
170;1;-100.0;0.0;0.0
172;1;-100.0;0.0;0.0
174;1;-100.0;0.0;0.0
176;1;-100.0;0.0;0.0
178;1;-100.0;0.0;0.0
180;1;-100.0;0.0;0.0
182;1;-100.0;0.0;0.0
184;1;-100.0;0.0;0.0
186;1;-100.0;0.0;0.0
188;1;-100.0;0.0;0.0
190;1;-100.0;0.0;0.0
192;1;-100.0;0.0;0.0
194;1;-100.0;0.0;0.0
196;1;-100.0;0.0;0.0
198;1;-100.0;0.0;0.0
200;1;-100.0;0.0;0.0
202;1;-100.0;0.0;0.0
204;1;-100.0;0.0;0.0
206;1;-100.0;0.0;0.0
208;1;-100.0;0.0;0.0
210;1;-100.0;0.0;0.0
212;1;-100.0;0.0;0.0
214;1;-100.0;0.0;0.0
216;1;-100.0;0.0;0.0
218;1;-100.0;0.0;0.0
220;1;-100.0;0.0;0.0
222;1;-100.0;0.0;0.0
224;1;-100.0;0.0;0.0
226;1;-100.0;0.0;0.0
228;1;-100.0;0.0;0.0
230;1;-100.0;0.0;0.0
232;1;-100.0;0.0;0.0
234;1;-100.0;0.0;0.0
236;1;-100.0;0.0;0.0
238;1;-100.0;0.0;0.0
240;1;-100.0;0.0;0.0
242;1;-100.0;0.0;0.0
244;1;-100.0;0.0;0.0
246;1;-100.0;0.0;0.0
248;1;-100.0;0.0;0.0
250;1;-100.0;0.0;0.0
252;1;-100.0;0.0;0.0
254;1;-100.0;0.0;0.0
256;1;-100.0;0.0;0.0
258;1;-100.0;0.0;0.0
260;1;-100.0;0.0;0.0
