epoch;nb_episodes;r_mean;r_var;r_std
2;1;-200.0;0.0;0.0
4;1;-200.0;0.0;0.0
6;1;-200.0;0.0;0.0
8;1;-200.0;0.0;0.0
10;1;-200.0;0.0;0.0
12;1;-200.0;0.0;0.0
14;2;-100.0;2809.0;53.0
16;1;-200.0;0.0;0.0
18;4;-50.0;573.5;23.9478600297
20;1;-200.0;0.0;0.0
22;1;-200.0;0.0;0.0
24;1;-200.0;0.0;0.0
26;1;-200.0;0.0;0.0
28;1;-200.0;0.0;0.0
30;1;-200.0;0.0;0.0
32;1;-200.0;0.0;0.0
34;1;-200.0;0.0;0.0
36;1;-200.0;0.0;0.0
38;3;-66.6666666667;10.8888888889;3.29983164554
40;1;-200.0;0.0;0.0
42;3;-66.6666666667;363.555555556;19.0671328614
44;1;-200.0;0.0;0.0
46;1;-200.0;0.0;0.0
48;1;-200.0;0.0;0.0
50;3;-66.6666666667;166.888888889;12.9185482501
52;1;-200.0;0.0;0.0
54;1;-200.0;0.0;0.0
56;1;-200.0;0.0;0.0
58;1;-200.0;0.0;0.0
60;3;-66.6666666667;1550.88888889;39.3813266522
62;1;-200.0;0.0;0.0
64;4;-50.0;641.5;25.3278502838
66;1;-200.0;0.0;0.0
68;1;-200.0;0.0;0.0
70;5;-40.0;345.6;18.5903200618
72;1;-200.0;0.0;0.0
74;1;-200.0;0.0;0.0
76;1;-200.0;0.0;0.0
78;1;-200.0;0.0;0.0
80;1;-200.0;0.0;0.0
82;1;-200.0;0.0;0.0
84;1;-200.0;0.0;0.0
86;1;-200.0;0.0;0.0
88;1;-200.0;0.0;0.0
90;1;-200.0;0.0;0.0
92;1;-200.0;0.0;0.0
94;1;-200.0;0.0;0.0
96;1;-200.0;0.0;0.0
98;1;-200.0;0.0;0.0
100;1;-200.0;0.0;0.0
102;1;-200.0;0.0;0.0
104;1;-200.0;0.0;0.0
106;3;-66.6666666667;1864.22222222;43.1766397746
108;2;-100.0;961.0;31.0
110;4;-50.0;35.5;5.95818764391
112;1;-200.0;0.0;0.0
114;2;-100.0;2304.0;48.0
116;1;-200.0;0.0;0.0
118;1;-200.0;0.0;0.0
120;1;-200.0;0.0;0.0
122;1;-200.0;0.0;0.0
124;4;-50.0;265.5;16.2941707368
126;2;-100.0;1225.0;35.0
128;1;-200.0;0.0;0.0
130;1;-200.0;0.0;0.0
132;2;-100.0;1681.0;41.0
134;1;-200.0;0.0;0.0
136;1;-200.0;0.0;0.0
138;1;-200.0;0.0;0.0
140;1;-200.0;0.0;0.0
142;4;-50.0;9.0;3.0
144;4;-50.0;76.5;8.74642784227
146;4;-50.0;94.0;9.69535971483
148;1;-200.0;0.0;0.0
150;1;-200.0;0.0;0.0
152;1;-200.0;0.0;0.0
154;1;-200.0;0.0;0.0
156;4;-50.0;16.5;4.06201920232
158;1;-200.0;0.0;0.0
160;1;-200.0;0.0;0.0
162;4;-50.0;132.0;11.4891252931
164;1;-200.0;0.0;0.0
166;1;-200.0;0.0;0.0
168;1;-200.0;0.0;0.0
